id;fence_id;fence_name;created_by;created_time;modified_by;modified_time;type;fence_code
1;67358;Money Market Account;next-generation;91425;Handcrafted Concrete Shoes;430;77464;auxiliary
2;7122;Licensed Buckinghamshire;needs-based;4432;Intelligent Armenian Dram Bolivar Fuerte;84409;83668;Tasty Cotton Cheese
3;67993;complexity Licensed Response;Avon;36927;Gorgeous Frozen Table;45782;19723;hacking
4;75912;Bangladesh;Rwanda Soft Customizable;3060;Mobility;60068;83174;Small Canadian Dollar
5;51238;Division open-source;Borders e-business Madagascar;83733;payment Borders Berkshire;672;17182;Generic Concrete Pizza yellow
6;32323;systemic Rustic Metal Salad pink;Intuitive;36345;aggregate invoice;84137;44316;explicit Operative auxiliary
7;93668;Mouse;Internal Cotton;88517;Toys interfaces convergence;51213;12378;Paradigm compressing
8;33359;SDD systems;Investment Account;44828;Phased neural Congo;49618;49398;Buckinghamshire Incredible global
9;31688;Markets contingency;violet New Israeli Sheqel;28667;Functionality;58999;9558;synthesizing Senior Credit Card Account
10;49008;synthesize withdrawal;synthesizing Human;94743;Avon;51931;17171;Mountain cutting-edge
